,AVG_GMD,NVOX,PROP_VOX_ABV10%
X4,0.27816648528261007,55,0.9636363636363636
X11,,174,0.0
X23,0.7461993959214952,54,1.0
X30,0.7226103920202989,65,1.0
X31,0.7058493800912843,132,1.0
X32,0.7173940170378912,126,1.0
X35,0.44819603469354885,2201,0.06406179009541117
X36,0.6927300806926644,461,0.9978308026030369
X37,0.6867007009939888,498,0.9979919678714859
X38,0.5502982987412091,6875,0.02530909090909091
X39,0.5596801160604923,6875,0.0224
X40,,1654,0.0
X41,,1713,0.0
X44,0.3044018675829282,26742,0.4751701443422332
X45,0.29746377946173685,26137,0.469066840111719
X46,0.2878932651753227,127,0.3779527559055118
X47,0.6206771039469227,471,1.0
X48,0.6244125162440047,450,0.9977777777777778
X49,0.4209221802078761,31,0.8387096774193549
X50,0.4151929169893265,18,0.7777777777777778
X51,0.28592687787423876,665,0.17443609022556392
X52,0.2788342378545003,745,0.16375838926174496
X55,0.21507858253359177,193,1.0
X56,0.19073899677428213,184,0.9184782608695652
X57,0.5210343878903118,598,1.0
X58,0.47785024008822363,634,1.0
X59,0.4933382816782696,1053,0.9876543209876543
X60,0.44468548698607113,1090,0.9302752293577982
X61,0.39373158549682963,576,1.0
X62,0.37184876505980047,590,0.9847457627118644
X64,0.45922112464904785,2,1.0
X69,0.16164356801244947,9,0.7777777777777778
X71,,624,0.0
X72,,246,0.0
X73,,362,0.0
X75,0.4584288252334969,55,0.9272727272727272
X76,0.46162515103816987,50,1.0
X100,0.5521395790766631,602,0.9916943521594684
X101,0.5562098874079604,745,0.9986577181208054
X102,0.6204180409847679,592,0.9966216216216216
X103,0.613088957268029,610,0.9983606557377049
X104,0.520585845602621,303,1.0
X105,0.505130242976479,266,1.0
X106,0.5241751596946621,1721,0.9854735618826264
X107,0.5125485203852921,1543,0.9585223590408296
X108,0.42814053007414643,434,0.9815668202764977
X109,0.4145787222616708,476,0.9852941176470589
X112,0.5718863756182105,626,0.9952076677316294
X113,0.5705247418219301,602,0.9883720930232558
X114,0.43703625445227023,725,0.993103448275862
X115,0.43068922445301183,606,0.9983498349834984
X116,0.5618514831419344,288,0.46875
X117,0.554876734776532,247,0.5506072874493927
X118,0.5730591967972842,278,0.9892086330935251
X119,0.5672477479638725,292,0.9931506849315068
X120,0.47296188640594483,613,0.8156606851549756
X121,0.4813677100542964,594,0.8013468013468014
X122,0.6028061386801293,1161,0.7071490094745909
X123,0.6030997125272104,1150,0.6791304347826087
X124,0.5100740498662416,354,0.7994350282485876
X125,0.5010834110734064,328,0.7835365853658537
X128,0.5081405341965423,876,1.0
X129,0.4920565573361529,950,0.9726315789473684
X132,0.5663587123249411,1752,0.5439497716894978
X133,0.5513132670882401,1681,0.46698393813206424
X134,0.4916464676816432,1089,0.9715335169880625
X135,0.4931984759661049,1069,0.9466791393826005
X136,0.5144382249736934,324,0.9969135802469136
X137,0.5050788057690605,376,1.0
X138,0.5661931846379524,672,1.0
X139,0.5483959513225766,635,0.9984251968503937
X140,0.5798740215026416,286,1.0
X141,0.5788961873036023,258,1.0
X142,0.5089008307319615,3378,0.9120781527531083
X143,0.5128777120907058,3441,0.940424295263005
X144,0.5209315046866206,752,1.0
X145,0.500873542850723,980,1.0
X146,0.510763084801257,661,0.8789712556732224
X147,0.4967491333582909,749,0.8584779706275033
X148,0.41939664291123213,119,0.9915966386554622
X149,0.4358933628426762,128,0.9921875
X150,0.5023737744358946,373,0.9731903485254692
X151,0.5217668725887225,342,0.9824561403508771
X152,0.540896709007211,1311,0.9763539282990084
X153,0.5425791517788799,1013,0.9930898321816387
X154,0.5768187283049764,2246,0.92520035618878
X155,0.557516021888797,2289,0.9357798165137615
X156,0.33315103533088736,424,0.9716981132075472
X157,0.34731485960739,524,0.9561068702290076
X160,0.49830075017759734,580,0.9224137931034483
X161,0.5155992970675001,606,0.641914191419142
X162,0.536261047613662,623,0.92776886035313
X163,0.5397084805547387,547,0.9488117001828154
X164,0.5291946656709793,204,1.0
X165,0.5214040136521625,194,1.0
X166,0.5908637784710653,546,0.9908424908424909
X167,0.5582056436367064,645,0.9906976744186047
X168,0.5420043403737878,1687,0.99407231772377
X169,0.5218418940381948,1731,0.9919121894858464
X170,0.5151365796926051,365,0.6767123287671233
X171,0.5249199576453486,394,0.6802030456852792
X172,0.6045716806007774,375,0.9946666666666667
X173,0.6042715040590033,346,1.0
X174,0.5618226710293028,327,0.9908256880733946
X175,0.553816542347933,423,0.9952718676122931
X176,0.4439717228255862,1590,0.8943396226415095
X177,0.44493389250471505,1808,0.8827433628318584
X178,0.5486627564754015,410,0.9878048780487805
X179,0.5289544840723207,431,0.9953596287703016
X180,0.5597389615029605,293,1.0
X181,0.5506819787117914,362,0.9972375690607734
X182,0.5057004282649193,2092,0.874282982791587
X183,0.5040121150590973,2025,0.9022222222222223
X184,0.5504018167359893,338,0.9970414201183432
